"date"	"id"	"genomic_accessions"	"genomic_basepairs"	"RNA_accessions"	"RNA_basepairs"	"protein_accessions"	"protein_basepairs"
1-01-01	NA	NA	NA	NA	NA	NA	NA
2003-06-30	1	64729	4339114280	211803	333757669	785143	263588685
2005-03-06	10	189568	36267625079	355792	626116071	1348118	482862858
2005-05-08	11	651418	39048660749	400504	683041613	1425971	507980644
2005-07-10	12	677974	42219703276	495772	823552782	1695929	608493108
2005-09-11	13	895281	43739344418	606038	988140435	1899454	686768902
2005-11-20	14	547997	46370766763	589641	994188604	2135138	763761075
2006-01-01	15	536571	51590196417	625928	1055245496	2273764	810009733
2006-03-11	16	544797	55079774723	649978	1095668336	2520485	887509001
2006-04-30	17	713768	61014517384	654553	1115519987	2631538	927587669
2006-07-11	18	720990	69236355747	703538	1237686252	2762164	974374765
2006-09-10	19	725746	69461744854	705937	1233134690	2879860	1012985077
2003-10-21	2	64805	7399000384	201312	346398189	831287	286957682
2006-11-05	20	789413	71255638503	777451	1424043002	3000705	1061797276
2007-01-07	21	688455	72372319088	819522	1492671478	3234358	1144795927
2007-03-02	22	840657	80808752887	929109	1632375659	3438099	1215085694
2007-05-08	23	846100	81401628980	1008695	1746698130	3648590	1291050995
2007-07-10	24	1153404	88036178437	1054200	1820817084	3866210	1365916222
2007-09-11	25	1186270	89300266283	1161638	1965574560	4167224	1470475398
2007-11-04	26	1266455	97084961007	1196889	2020744478	4234906	1495032507
2008-01-06	27	1387692	99006517014	1211414	2053035099	4426609	1556356987
2008-03-09	28	1418756	99879994098	1300688	2171356427	5195116	1770627427
2008-05-04	29	1510537	102394850748	1382728	2276250402	5482876	1870214220
2004-01-14	3	58793	7648922017	198043	343819205	844408	294647847
2008-07-07	30	1585290	102763476065	1397198	2311010644	5590364	1913447691
2008-08-30	31	1709801	106640663848	1576253	2573684743	5859648	2026768719
2008-11-10	32	1857705	108503659871	1601309	2618543350	6042750	2089596746
2009-01-16	33	2226548	113255432005	1685610	2746151813	6413124	2204073443
2009-03-06	34	1552002	108912317855	1778051	2880256975	6691817	2299682138
2009-05-04	35	1582534	110269494653	1815788	2941160683	7595569	2565199170
2009-07-02	36	2018675	113905311016	1941240	3108430514	8181910	2756884219
2009-09-03	37	2075439	115925672833	2030515	3225556987	8835796	2965450333
2009-11-07	38	2076580	115963506191	2034653	3233116244	9325214	3115246540
2010-01-23	39	1951088	115257482251	2042668	3245374249	9662677	3221054793
2004-03-24	4	59395	7814722784	204589	360406103	929473	318253841
2010-03-07	40	1953278	115397926234	2044031	3248058801	9856489	3280528951
2010-05-09	41	2057233	122135439688	2122583	3365441196	10292244	3427514220
2010-07-13	42	2160929	139761918355	2237414	3549920700	10640515	3553178673
2010-09-05	43	2293783	144882401872	2417194	3824569584	11223078	3761205880
2010-11-07	44	2307132	148353871389	2461237	3887619476	11652892	3899827321
2011-01-07	45	2330038	148867561545	2484395	3919533328	11934213	3989526325
2011-03-08	46	2337660	149284818772	2493411	3936037450	12167392	4064052954
2011-05-07	47	2387395	157821148770	2619015	4180817274	12625466	4226432170
2011-07-10	48	2411180	159594740884	2634630	4176532019	13116724	4381572480
2011-09-07	49	2419419	158009711460	2679762	4276434960	13137813	4401462131
2004-05-02	5	60991	7944425243	217164	381090380	977458	337229387
2011-11-08	50	2564226	164292129695	2751095	4410032711	13499832	4529303978
2012-01-09	51	2582293	168118554405	2908099	4632793373	14090554	4727472575
2012-03-05	52	2592702	169070839672	2908495	4634354675	14734050	4929467422
2012-05-07	53	2613063	170670195455	2928785	4675238407	15744232	5247723883
2012-07-09	54	2548939	171774565756	2947185	4717662932	16393342	5456992181
2012-09-17	55	2700925	189821645171	3137878	5149729374	17368769	5803694332
