"date"	"samples"	"reads"	"bases"
""	0	0	0
"2015-01-01"	30	546837	118973414
"2015-01-02"	0	0	0
"2015-01-03"	1	0	1
"2015-01-04"	0	0	0
"2015-01-05"	0	0	0
"2015-01-06"	10	690234161	69649805738
"2015-01-07"	136	3302848	1606582635
"2015-01-08"	0	0	0
"2015-01-09"	343	258771377	59381018345
"2015-01-10"	0	0	0
"2015-01-11"	0	0	0
"2015-01-12"	0	0	0
"2015-01-13"	0	0	0
"2015-01-14"	0	0	0
"2015-01-15"	0	0	0
"2015-01-16"	96	1308063	450225215
"2015-01-17"	0	0	0
"2015-01-18"	0	0	0
"2015-01-19"	0	0	0
"2015-01-20"	326	802155754	162053095053
"2015-01-21"	3	30053	15867921
"2015-01-22"	25	15989198	7053253439
"2015-01-23"	94	2983400	3074591418
"2015-01-24"	1	62782	40189186
"2015-01-25"	0	0	0
"2015-01-26"	95	456509	180367033
"2015-01-27"	0	0	0
"2015-01-28"	111	12669901	7247472061
"2015-01-29"	587	1278574	230143907
"2015-01-30"	44	12720613	4882741027
"2015-01-31"	525	2781416	765449205
"2015-02-01"	0	0	0
"2015-02-02"	0	0	0
"2015-02-03"	14	495470134	44499175664
"2015-02-04"	0	0	0
"2015-02-05"	0	0	0
"2015-02-06"	65	76319821	16185108030
"2015-02-07"	1631	5454175222	1273303181013
"2015-02-08"	0	0	0
"2015-02-09"	139	57788009	14098126075
"2015-02-10"	0	0	0
"2015-02-11"	4	3010373	1785177152
"2015-02-12"	25	25384641	15218651899
"2015-02-13"	105	34308547	7263244864
"2015-02-14"	58	9303382	2368525147
"2015-02-15"	458	161526445	43836789115
"2015-02-16"	117	1963142	983730594
"2015-02-17"	127	1599838211	255097573218
"2015-02-18"	243	47995710	9915322494
"2015-02-19"	0	0	0
"2015-02-20"	2	10893	5787663
"2015-02-21"	21	1373530419	206029562871
"2015-02-22"	0	0	0
"2015-02-23"	0	0	0
"2015-02-24"	0	0	0
"2015-02-25"	0	0	0
"2015-02-26"	0	0	0
"2015-02-27"	0	0	0
"2015-02-28"	0	0	0
"2015-03-01"	20	1307473	654942874
"2015-03-02"	69	12441211	931093214
"2015-03-03"	149	201503554	84037793351
"2015-03-04"	164	1518920597	460996159016
"2015-03-05"	2173	9238567196	108710807136
"2015-03-06"	7	9820395	1726064104
"2015-03-07"	912	17042303	4298441210
"2015-03-08"	263	44957769	14194015139
"2015-03-09"	115	280082365	71648591508
"2015-03-10"	111	54419038	11996172641
"2015-03-11"	1418	6261963733	1255545163753
"2015-03-12"	1099	10479378092	2080336711437
"2015-03-13"	802	102312827	34460505629
"2015-03-14"	1	606867	98567306
"2015-03-15"	12	68242	35288762
"2015-03-16"	1870	757073029	168087042349
"2015-03-17"	159	1320276982	265494733818
"2015-03-18"	50	696907710	149184867973
"2015-03-19"	1	421306	180880412
"2015-03-20"	0	0	0
"2015-03-21"	257	2887462	1306046623
"2015-03-22"	126	237392472	47653018349
"2015-03-23"	293	2386645	666841227
"2015-03-24"	684	1035535040	280707480765
"2015-03-25"	456	11441672	6018927620
"2015-03-26"	52	6969064	2424399785
"2015-03-27"	1	541379	98773737
"2015-03-28"	544	741709797	147980658654
"2015-03-29"	10	84094	45895069
"2015-03-30"	464	258833614	34096441832
"2015-03-31"	856	232570181	36319171085
"2015-04-01"	0	0	0
"2015-04-02"	1059	230271653	59510957387
"2015-04-03"	419	8911882	2628910659
"2015-04-04"	271	2292667277	124659927418
"2015-04-05"	17	71041	32567344
"2015-04-06"	10	174440	72444341
"2015-04-07"	27	947515983	46031261772
"2015-04-08"	0	0	0
"2015-04-09"	199	334990671	80943116737
"2015-04-10"	124	193135270	34556887714
"2015-04-11"	0	0	0
"2015-04-12"	40	342874	144667740
"2015-04-13"	23	14504245	2712075563
"2015-04-14"	3	1694795	598847811
"2015-04-15"	0	0	0
"2015-04-16"	66	0	66
"2015-04-17"	0	0	0
"2015-04-18"	0	0	0
"2015-04-19"	0	0	0
"2015-04-20"	529	500144871	107274123709
"2015-04-21"	246	14043189	6816888313
"2015-04-22"	139	34027631	6416961934
"2015-04-23"	147	9086526	5212474902
"2015-04-24"	304	144581133	33242974876
"2015-04-25"	0	0	0
"2015-04-26"	2	243642	95822764
"2015-04-27"	35	1586957	736401673
"2015-04-28"	84	26933078	6835253660
"2015-04-29"	629	279563520	64758985316
"2015-04-30"	241	215738564	53978829418
"2015-05-01"	1017	385590256	77804891018
"2015-05-02"	0	0	0
"2015-05-03"	346	422635353	62521370386
"2015-05-04"	192	113442962	25735723364
"2015-05-05"	168	27323767193	5345788231040
"2015-05-06"	323	307600652	47310649973
"2015-05-07"	30	1452053239	283421682769
"2015-05-08"	215	3461109	1011468568
"2015-05-09"	837	7191823	1703809746
"2015-05-10"	24	281164606	84348849580
"2015-05-11"	15	1880380	728333868
"2015-05-12"	2731	85726531	15900322572
"2015-05-13"	233	4570958	1380429549
"2015-05-14"	231	120191104	29648508544
"2015-05-15"	318	4652191	2079020030
"2015-05-16"	0	0	0
"2015-05-17"	0	0	0
"2015-05-18"	0	0	0
"2015-05-19"	0	0	0
"2015-05-20"	0	0	0
"2015-05-21"	93	878228973	178692668837
"2015-05-22"	209	3763292	752658609
"2015-05-23"	12	215034	129450480
"2015-05-24"	17	0	17
"2015-05-25"	84	27303967	6171127378
"2015-05-26"	183	0	183
"2015-05-27"	249	428275825	88608219071
"2015-05-28"	782	322202288	71618975302
"2015-05-29"	827	104793830	13489789349
"2015-05-30"	879	158085418	37337137856
"2015-05-31"	142	211647742	46697154394
"2015-06-01"	521	14785263360	2891008134166
"2015-06-02"	3	188935	97345658
"2015-06-03"	0	0	0
"2015-06-04"	0	0	0
"2015-06-05"	26509	37969018670	1787255834
"2015-06-06"	0	0	0
"2015-06-07"	2	0	2
"2015-06-08"	1805	2127013576	365164944000
"2015-06-09"	31	28087500	7712066989
"2015-06-10"	176	7330005	3237680413
"2015-06-11"	101	9544488	2186897442
"2015-06-12"	58	531666816	101362091503
"2015-06-13"	198	30925861	10497499923
"2015-06-14"	0	0	0
"2015-06-15"	13	416571	202504092
"2015-06-16"	0	0	0
"2015-06-17"	1376	246623026	82330790661
"2015-06-18"	189	392338731	41055364202
"2015-06-19"	44	53672644	9415339410
"2015-06-20"	535	758813490	149166342968
"2015-06-21"	360	113241299	23753452792
"2015-06-22"	0	0	0
"2015-06-23"	34	194746461	25253627207
"2015-06-24"	0	0	0
"2015-06-25"	0	0	0
"2015-06-26"	319	264609363	57107277518
"2015-06-27"	15	128924129	17179057907
"2015-06-28"	73	65963021	9785313751
"2015-06-29"	9	45763964	3679241920
"2015-06-30"	22	39269440	3416512854
"2015-07-01"	492	1111103797	132394106445
"2015-07-02"	404	113220154	25954449065
"2015-07-03"	377	70582578	35016395427
"2015-07-04"	941	55356207	14282805046
"2015-07-05"	105	103397186	13376076116
"2015-07-06"	6	181178	90951362
"2015-07-07"	89	477367171	86943841736
"2015-07-08"	424	646102573	148887280680
"2015-07-09"	168	60385816	9473178039
"2015-07-10"	0	0	0
"2015-07-11"	239	483711633	104524038841
"2015-07-12"	251	79487354	16471669682
"2015-07-13"	38	34360094	2888694227
"2015-07-14"	365	5903825	2476059140
"2015-07-15"	203	106312852	28290274667
"2015-07-16"	1605	15024124611	2926911771920
"2015-07-17"	934	543631866	170388521619
"2015-07-18"	0	0	0
"2015-07-19"	0	0	0
"2015-07-20"	236	107718972	16375586579
"2015-07-21"	465	194580909	51833540491
"2015-07-22"	0	0	0
"2015-07-23"	321	552739318	103426850251
"2015-07-24"	101	49884896	7443476264
"2015-07-25"	0	0	0
"2015-07-26"	597	5023478214	976259888904
"2015-07-27"	162	86475517	13333290839
"2015-07-28"	207	205431703	42812983684
