"date"	"samples"	"reads"	"bases"
""	0	0	0
"2010-01-01"	0	0	0
"2010-01-02"	0	0	0
"2010-01-03"	0	0	0
"2010-01-04"	0	0	0
"2010-01-05"	0	0	0
"2010-01-06"	0	0	0
"2010-01-07"	0	0	0
"2010-01-08"	0	0	0
"2010-01-09"	0	0	0
"2010-01-10"	0	0	0
"2010-01-11"	0	0	0
"2010-01-12"	0	0	0
"2010-01-13"	0	0	0
"2010-01-14"	0	0	0
"2010-01-15"	0	0	0
"2010-01-16"	0	0	0
"2010-01-17"	0	0	0
"2010-01-18"	0	0	0
"2010-01-19"	0	0	0
"2010-01-20"	0	0	0
"2010-01-21"	0	0	0
"2010-01-22"	0	0	0
"2010-01-23"	0	0	0
"2010-01-24"	0	0	0
"2010-01-25"	0	0	0
"2010-01-26"	0	0	0
"2010-01-27"	0	0	0
"2010-01-28"	0	0	0
"2010-01-29"	0	0	0
"2010-01-30"	0	0	0
"2010-01-31"	0	0	0
"2010-02-01"	0	0	0
"2010-02-02"	0	0	0
"2010-02-03"	0	0	0
"2010-02-04"	0	0	0
"2010-02-05"	0	0	0
"2010-02-06"	0	0	0
"2010-02-07"	0	0	0
"2010-02-08"	0	0	0
"2010-02-09"	0	0	0
"2010-02-10"	0	0	0
"2010-02-11"	0	0	0
"2010-02-12"	0	0	0
"2010-02-13"	0	0	0
"2010-02-14"	0	0	0
"2010-02-15"	0	0	0
"2010-02-16"	0	0	0
"2010-02-17"	0	0	0
"2010-02-18"	0	0	0
"2010-02-19"	0	0	0
"2010-02-20"	0	0	0
"2010-02-21"	0	0	0
"2010-02-22"	0	0	0
"2010-02-23"	0	0	0
"2010-02-24"	0	0	0
"2010-02-25"	0	0	0
"2010-02-26"	32801	203896810880	1025561041839
"2010-02-27"	0	0	0
"2010-02-28"	0	0	0
"2010-03-01"	0	0	0
"2010-03-02"	0	0	0
"2010-03-03"	0	0	0
"2010-03-04"	0	0	0
"2010-03-05"	73	719198330	53072696221
"2010-03-06"	0	0	0
"2010-03-07"	0	0	0
"2010-03-08"	245	3800508718	776449757898
"2010-03-09"	10	2633660	1139689474
"2010-03-10"	0	0	0
"2010-03-11"	0	0	0
"2010-03-12"	0	0	0
"2010-03-13"	0	0	0
"2010-03-14"	0	0	0
"2010-03-15"	0	0	0
"2010-03-16"	0	0	0
"2010-03-17"	134	160349697	6020056150
"2010-03-18"	6	11125867	400531218
"2010-03-19"	0	0	0
"2010-03-20"	0	0	0
"2010-03-21"	0	0	0
"2010-03-22"	20	7218737	3536894109
"2010-03-23"	0	0	0
"2010-03-24"	0	0	0
"2010-03-25"	8	80046	35471401
"2010-03-26"	0	0	0
"2010-03-27"	0	0	0
"2010-03-28"	0	0	0
"2010-03-29"	177	858619196	33686445625
"2010-03-30"	99	4389007252	262041798484
"2010-03-31"	239	2849276419	263172740748
"2010-04-01"	115	906188935	100421851758
"2010-04-02"	223	3469971272	242897989263
"2010-04-03"	0	0	0
"2010-04-04"	0	0	0
"2010-04-05"	0	0	0
"2010-04-06"	0	0	0
"2010-04-07"	264	2821640257	402173212058
"2010-04-08"	785	3836174175	323257280776
"2010-04-09"	667	5766333567	398249418099
"2010-04-10"	481	5509531100	352326042820
"2010-04-11"	111	1315355445	85411196243
"2010-04-12"	492	9457603166	651464817718
"2010-04-13"	623	16003280388	1133890538728
"2010-04-14"	86	1081915979	68461378046
"2010-04-15"	181	2331094715	210724116864
"2010-04-16"	13	140792285	8372057273
"2010-04-17"	7	316516913	30634653911
"2010-04-18"	0	0	0
"2010-04-19"	0	0	0
"2010-04-20"	39	1292879427	105981745705
"2010-04-21"	0	0	0
"2010-04-22"	25	103764009	5007958148
"2010-04-23"	0	0	0
"2010-04-24"	0	0	0
"2010-04-25"	7	764855843	62121858237
"2010-04-26"	0	0	0
"2010-04-27"	0	0	0
"2010-04-28"	11	290589080	10270691862
"2010-04-29"	33	15718443	1168770860
"2010-04-30"	33	1324081048	119478433162
"2010-05-01"	0	0	0
"2010-05-02"	0	0	0
"2010-05-03"	0	0	0
"2010-05-04"	6	516438476	48977215671
"2010-05-05"	54	3825861138	204494738991
"2010-05-06"	0	0	0
"2010-05-07"	68	752726733	114635443536
"2010-05-08"	0	0	0
"2010-05-09"	0	0	0
"2010-05-10"	480	2658034120	297731888629
"2010-05-11"	80	3226946176	317919024623
"2010-05-12"	336	1479386085	120572704662
"2010-05-13"	25	256174137	9646343732
"2010-05-14"	0	0	0
"2010-05-15"	0	0	0
"2010-05-16"	0	0	0
"2010-05-17"	0	0	0
"2010-05-18"	0	0	0
"2010-05-19"	24	356250057	21716969871
"2010-05-20"	0	0	0
"2010-05-21"	0	0	0
"2010-05-22"	0	0	0
"2010-05-23"	0	0	0
"2010-05-24"	78	2151758343	434655185364
"2010-05-25"	0	0	0
"2010-05-26"	263	8151759224	698888048506
"2010-05-27"	833	11455230803	1132342796686
"2010-05-28"	44	567056646	20414039300
"2010-05-29"	0	0	0
"2010-05-30"	0	0	0
"2010-05-31"	1474	2943746910	221662124310
"2010-06-01"	7924	9801674585	46181702876
"2010-06-02"	276	1885410156	199023781426
"2010-06-03"	114	4681553071	403447743064
"2010-06-04"	679	1984300998	220479349652
"2010-06-05"	0	0	0
"2010-06-06"	0	0	0
"2010-06-07"	1634	4688323539	869447676100
"2010-06-08"	79	299015242	27201729171
"2010-06-09"	27	301327802	51130183671
"2010-06-10"	7	105782103	16078879663
"2010-06-11"	0	0	0
"2010-06-12"	50	760418949	42937468978
"2010-06-13"	0	0	0
"2010-06-14"	146	2255332219	342810497434
"2010-06-15"	2859	3734999909	222730203256
"2010-06-16"	22	80611589	5961042493
"2010-06-17"	19	355631677	76816442251
"2010-06-18"	103	1042923332	167406971983
"2010-06-19"	0	0	0
"2010-06-20"	0	0	0
"2010-06-21"	0	0	0
"2010-06-22"	0	0	0
"2010-06-23"	0	0	0
"2010-06-24"	691	2606027966	154612979935
"2010-06-25"	57	290097004	12698842307
"2010-06-26"	0	0	0
"2010-06-27"	0	0	0
"2010-06-28"	41	555372719	19494974669
"2010-06-29"	0	0	0
"2010-06-30"	0	0	0
"2010-07-01"	134	1788721544	316215104243
"2010-07-02"	13	154330131	5754481393
"2010-07-03"	0	0	0
"2010-07-04"	0	0	0
"2010-07-05"	2	12260516	441378578
"2010-07-06"	19	528091	111911897
"2010-07-07"	11	209949741	9057509507
"2010-07-08"	137	1157226843	87050877675
"2010-07-09"	5	567800	249176642
"2010-07-10"	0	0	0
"2010-07-11"	0	0	0
"2010-07-12"	73	485125346	35963617957
"2010-07-13"	409	3034971287	251593457890
"2010-07-14"	677	14974882503	2547006342317
"2010-07-15"	124	2466970957	389617251741
"2010-07-16"	108	1828632725	360327731913
"2010-07-17"	240	772452223	105377381377
"2010-07-18"	56	88184956	18275283353
"2010-07-19"	6	6309317	883304386
"2010-07-20"	4	286933	72886514
"2010-07-21"	109	625015069	66112888554
"2010-07-22"	85	301320422	24792202360
"2010-07-23"	61	669365733	37660029475
"2010-07-24"	97	1408582700	51461342000
"2010-07-25"	20	301047985	29450583027
"2010-07-26"	74	845566557	129027679268
"2010-07-27"	68	1742356610	150747256774
"2010-07-28"	41	304240375	21093785622
"2010-07-29"	143	92730045	29886937720
"2010-07-30"	283	7721992469	1544452195617
"2010-07-31"	40	738866116	121878920812
"2010-08-01"	1786	12501020775	1813900361541
"2010-08-02"	2	445024	208591409
"2010-08-03"	23	359211631	41517289847
"2010-08-04"	14	290425742	29623425698
"2010-08-05"	130	646724767	51900230377
"2010-08-06"	199	477012745	23672994077
"2010-08-07"	5	60327438	3207151520
"2010-08-08"	102	788702717	74125630919
"2010-08-09"	12	11191806	3276645218
"2010-08-10"	365	10321207744	2085976900158
"2010-08-11"	50	1006341013	161213771503
"2010-08-12"	6	7289333	3055330638
"2010-08-13"	375	8877954634	1086446719863
"2010-08-14"	44	699889286	116870847360
"2010-08-15"	0	0	0
"2010-08-16"	253	5614904204	1043283283012
"2010-08-17"	70	470784334	34436818112
"2010-08-18"	81	2213302574	408071726722
"2010-08-19"	7	58335978	8867068663
"2010-08-20"	12	105908613	9045478903
"2010-08-21"	108	2467185412	469853472538
"2010-08-22"	94	2249651301	405739097694
"2010-08-23"	175	3272293997	577857530250
"2010-08-24"	2	99710	25183475
"2010-08-25"	171	9269751972	1240218751928
